id,day_id,title,video,created_at,updated_at
546,61,high_knee_chops_left,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499892/exercises/1_day/high_knee_chops_left.mp4,2023-11-20 18:48:39.483295,2023-11-20 18:49:29.236684
547,61,high_knee_chops_right,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499841/exercises/1_day/high_knee_chops_right.mp4,2023-11-20 18:48:39.485581,2023-11-20 18:49:29.239587
548,61,hip_swirls,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499911/exercises/1_day/hip_swirls.mp4,2023-11-20 18:48:39.487162,2023-11-20 18:49:29.241855
549,61,knee_raises,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499850/exercises/1_day/knee_raises.mp4,2023-11-20 18:48:39.488709,2023-11-20 18:49:29.244444
550,61,reach_and_squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499913/exercises/1_day/reach_and_squat.mp4,2023-11-20 18:48:39.490478,2023-11-20 18:49:29.246938
551,61,scissor_kicks,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499846/exercises/1_day/scissor_kicks.mp4,2023-11-20 18:48:39.492270,2023-11-20 18:49:29.249078
552,61,side_deep_squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499955/exercises/1_day/side_deep_squat.mp4,2023-11-20 18:48:39.493987,2023-11-20 18:49:29.250986
553,61,side_leg_raise_left,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499954/exercises/1_day/side_leg_raise_left.mp4,2023-11-20 18:48:39.495620,2023-11-20 18:49:29.252985
554,61,side_leg_raise_right,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499948/exercises/1_day/side_leg_raise_right.mp4,2023-11-20 18:48:39.497458,2023-11-20 18:49:29.254772
555,61,side_lunge_windmill,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499955/exercises/1_day/side_lunge_windmill.mp4,2023-11-20 18:48:39.498985,2023-11-20 18:49:29.256539
556,62,kick_backs,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500417/exercises/2_day/kick_backs.mp4,2023-11-20 18:48:39.500624,2023-11-20 18:49:35.950656
557,62,knee_push_ups,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500366/exercises/2_day/knee_push_ups.mp4,2023-11-20 18:48:39.502123,2023-11-20 18:49:35.953723
558,62,lateral_arm_circles,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500415/exercises/2_day/lateral_arm_circles.mp4,2023-11-20 18:48:39.503800,2023-11-20 18:49:35.956189
559,62,leg_lifts,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500359/exercises/2_day/leg_lifts.mp4,2023-11-20 18:48:39.505438,2023-11-20 18:49:35.958966
560,62,mountain_climber,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500366/exercises/2_day/mountain_climber.mp4,2023-11-20 18:48:39.506889,2023-11-20 18:49:35.961683
561,62,rise_and_plie,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500340/exercises/2_day/rise_and_plie.mp4,2023-11-20 18:48:39.508349,2023-11-20 18:49:35.963900
562,62,running_man,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500379/exercises/2_day/running_man.mp4,2023-11-20 18:48:39.509837,2023-11-20 18:49:35.965890
563,62,side_lunge_windmill,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500328/exercises/2_day/side_lunge_windmill.mp4,2023-11-20 18:48:39.511382,2023-11-20 18:49:35.967838
564,62,squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500334/exercises/2_day/squat.mp4,2023-11-20 18:48:39.513005,2023-11-20 18:49:35.969755
565,62,tricep_dips,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500331/exercises/2_day/tricep_dips.mp4,2023-11-20 18:48:39.514450,2023-11-20 18:49:35.971588
566,63,donkey_kicks_left,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500928/exercises/3_day/donkey_kicks_left.mp4,2023-11-20 18:48:39.517582,2023-11-20 18:49:42.650259
567,63,donkey_kicks_right,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500931/exercises/3_day/donkey_kicks_right.mp4,2023-11-20 18:48:39.519491,2023-11-20 18:49:42.653066
568,63,forward_jump,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500936/exercises/3_day/forward_jump.mp4,2023-11-20 18:48:39.521648,2023-11-20 18:49:42.655423
569,63,hip_swirls,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500963/exercises/3_day/hip_swirls.mp4,2023-11-20 18:48:39.523510,2023-11-20 18:49:42.658012
